Name                                             ;Stufe;Schule      ;Zeit                          ;Entfernung                                        ;Ziel/effekt/Bereich                                                                                                                                   ;Wirkungsdauer                                                                                    ;Komponenten                                                                                         ;Rettungswurf                                                                          ;Zauberresistenz                           ;Quelle /Seite
Zersetzender Hauch                               ;1    ;Beschwörung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur oder berührter Gegenstand                                                                                                            ;Augenblicklich                                                                                   ;V, G                                                                                                ;Keiner                                                                                ;Ja                                        ;ARM 249
Zielsicherer Schlag                              ;1    ;Erkenntnis  ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;siehe Text                                                                                       ;V, F (kleine, hölzerne Nachbildung einer Zielscheibe)                                               ;Nein                                                                                  ;Nein                                      ;GRW 369
Zusammenflicken                                  ;1    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;1 beschädigter Gegenstand von bis zu 2 Pfund/Stufe                                                                                                    ;1 Runde/ Stufe                                                                                   ;V, G, M (ein kleines Kügelchen Baumharz)                                                            ;Willen, keine Wirkung (harmlos, Gegenstand)                                           ;Ja (harmlos, Gegenstand)                  ;ARK 249
Ameisenstärke, Gemeinschaftliche                 ;2    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreaturen                                                                                                                                    ;2 Stunden/Stufe                                                                                  ;V, G, M/GF (ein kleiner Flaschenzug)                                                                ;Zähigkeit, keine Wirkung (harmlos)                                                    ;Ja (Harmlos)                              ;ARK 222
Andere verkleiden                                ;2    ;Illusion    ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;10 Min/ Stufe                                                                                    ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;ARM 206
Arkanes Schloss                                  ;2    ;Bannzauber  ;1 Standard-Aktion             ;Berührung                                         ;Berührte Tür, berührte Truhe oder berührtes Portal mit einer Größe von bis zu 9m2 pro Stufe                                                           ;Permanent                                                                                        ;V, G, M (Goldstaub im Wert von 25 GM)                                                               ;Nein                                                                                  ;Nein                                      ;GRW 244
Ausdauer des Ochsen                              ;2    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Min./ Stufe                                                                                    ;V, G, M/GF (ein Paar Haare oder ein wenig Dung eines Ochsen)                                        ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;GRW 247
Bärenstärke                                      ;2    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Min./ Stufe                                                                                    ;V, G, M/GF (ein Paar Haare oder ein wenig Dung eines Bären)                                         ;Willen, keine Wirkung (harmlos)                                                       ;Ja (harmlos)                              ;GRW 249
Besessene Haut                                   ;2    ;Nekromantie ;1 Minute                      ;Persönlich                                        ;Du                                                                                                                                                    ;1 Stunde/ Stufe                                                                                  ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;ARM 208
Bewunderung                                      ;2    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur                                                                                                                                             ;1 Min. /Stufe                                                                                    ;V, G                                                                                                ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;ARK 224
Blind- oder Taubheit kurieren                    ;2    ;Beschwörung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;Augenblicklich                                                                                   ;V, G                                                                                                ;Zähigkeit, keine Wirkung (harmlos)                                                    ;Ja                                        ;GRW 253
Blind- oder Taubheit verursachen                 ;2    ;Nekromantie ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Eine lebende Kreatur                                                                                                                                  ;Permanent (A)                                                                                    ;V                                                                                                   ;Zähigkeit, keine Wirkung                                                              ;Ja (harmlos)                              ;GRW 253
Blutendes Auge                                   ;2    ;Nekromantie ;1 Standard-Aktion             ;Berührung                                         ;1 berührte Nahkampfwaffe (Hieb)                                                                                                                       ;1 Runde/ Stufe oder bis entladen                                                                 ;V, G                                                                                                ;Willen, keine Wirkung (harmlos, Gegenstand)                                           ;Ja (harmlos, Gegenstand)                  ;ARK 226
Brennender Blick                                 ;2    ;Hervorrufung;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Runde/ Stufe                                                                                   ;V, G, M/GF (Auge eines gewöhnlichen Salamanders)                                                    ;Zähigkeit, keine Wirkung (siehe Text)                                                 ;Ja                                        ;EXP 210
Dämmerstaub                                      ;2    ;Beschwörung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Kreaturen und Gegenstände in einer Ausbreitung von 3m                                                                                                 ;Augenblicklich                                                                                   ;V, G, M (Kohlenstaub)                                                                               ;Zähigkeit, keine Wirkung (Nur Erschöpfung)                                            ;Nein                                      ;EXP 211
Dauerhafte Flamme                                ;2    ;Hervorrufung;1 Standard-Aktion             ;Berührung                                         ;Ziel: Berührter Gegenstand Effekt: Magische Flamme, die keine Wärme verbreitet                                                                        ;Permanent                                                                                        ;V, G, M (Rubinstaub im Wert von 50 GM)                                                              ;Nein                                                                                  ;Nein                                      ;GRW 257
Defensive Entladung                              ;2    ;Hervorrufung;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min/ Stufe oder bis zur Enladung                                                               ;V, G, M (1 hohle Metallkugel)                                                                       ;Nein                                                                                  ;Nein                                      ;ARM 210
Donnerschuss                                     ;2    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 geladene Feuerwaffe                                                                                                                                 ;Augenblicklich                                                                                   ;V, G, M (ein Stück eines verbrauchten Donnersteines)                                                ;"Willen, keine Wirkung (Gegenstand); (siehe Text)"                                    ;Ja (Gegenstand), siehe Text               ;ARK 226
Drückende Langeweile                             ;2    ;Verzauberung;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur                                                                                                                                             ;1 Runde/ Stufe oder bis gebrochen                                                                ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 210
Dunkelheit                                       ;2    ;Hervorrufung;1 Standard-Aktion             ;Berührung                                         ;Berührter Gegenstand                                                                                                                                  ;1 Min./ Stufe (A)                                                                                ;V, M/GF (Fledermausfell und ein Stückchen Kohle)                                                    ;Nein                                                                                  ;Nein                                      ;GRW 261
Dunkelsicht                                      ;2    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Stunde/ Stufe                                                                                  ;V, G, M (ein Stückchen getrockneter Karotte oder ein Achat)                                         ;Willen, keine Wirkung (harmlos)                                                       ;Ja (harmlos)                              ;GRW 262
Einfaches Trugbild                               ;2    ;Illusion    ;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Optische Einbildung, die sich nicht weiter ausdehnen kann als vier Würfel mit jeweils 3 m Kantenlänge +1 Würfel/ Stufe mit jeweils 3 m Kantenlänge (F ;Konzentration +2 Runden                                                                          ;V, G, F (ein Stückchen Pelz)                                                                        ;Willen, anzweifeln (falls mit der Illusion interagiert wird)                          ;Nein                                      ;GRW 263
Elementare Zungen                                ;2    ;Erkenntnis  ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min./ Stufe                                                                                    ;V, G, M (Eisenspäne)                                                                                ;Nein                                                                                  ;Nein                                      ;EXP 214
Elementen trotzen, Gemeinschaftliches            ;2    ;Bannzauber  ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreaturen                                                                                                                                    ;24 Stunden                                                                                       ;V, G                                                                                                ;Willen, keine Wirkung (harmlos)                                                       ;ja (harmlos)                              ;ARK 226
Energien widerstehen                             ;2    ;Bannzauber  ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;10 Min./ Stufe                                                                                   ;V, G, GF                                                                                            ;Zähigkeit, keine Wirkung (harmlos)                                                    ;Ja (harmlos)                              ;GRW 266
Entstellende Berührung                           ;2    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Tag/ Stufe                                                                                     ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 214
Erschrecken                                      ;2    ;Nekromantie ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Eine lebende Kreatur pro drei Stufen, keine zwei beliebigen Ziele dürfen weiter als 9 m voneinander entfernt sein.                                    ;1 Runde/ Stufe oder 1 Runde (siehe Text bei Furcht auslösen )                                    ;V, G, M (ein Knochen einer untoten Kreatur)                                                         ;Willen, teilweise                                                                     ;Ja                                        ;GRW 269
Falsches Leben                                   ;2    ;Nekromantie ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Stunde/ Stufe oder bis der Zauber sich entlädt (siehe Text)                                    ;V, G, M (ein Tropfen Blut)                                                                          ;Nein                                                                                  ;Nein                                      ;GRW 270
Fehlzündung provozieren                          ;2    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 geladene Feuerwaffe                                                                                                                                 ;Augenblicklich                                                                                   ;V, G, M (ein paar Tropfen Schnaps)                                                                  ;Willen, keine Wirkung (Gegenstand)                                                    ;Ja (Gegenstand)                           ;ARK 228
Feuerspeien                                      ;2    ;Hervorrufung;1 Standard-Aktion             ;4,50m                                             ;Kegelförmige Explosion                                                                                                                                ;1 Runde/ Stufe oder bis ausgelöst (siehe Text)                                                   ;V, G, M (eine Chilischote)                                                                          ;Reflex, halbiert (siehe Text)                                                         ;Ja                                        ;EXP 218
Feuerwerk                                        ;2    ;Verwandlung ;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Eine Feuerquelle, bis zu einem Würfel mit 6 m Kantenlänge                                                                                             ;1W4+1 Runden oder 1W4+l Runden nachdem Kreaturen die Rauchwolke verlassen haben (siehe Text)     ;V, G, M (eine Feuerquelle)                                                                          ;Willen, keine Wirkung oder Zähigkeit, keine Wirkung (siehe Text)                      ;Ja oder nein (siehe Text)                 ;GRW 273
Feurige Schuriken                                ;2    ;Beschwörung ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;Zwei oder mehr feurige Schuriken                                                                                                                      ;1 Runde/ Stufe (A)                                                                               ;V, G, M (ein Fingerhut Schwefel und ein Schuriken im Wert von 2 SM)                                 ;Keiner                                                                                ;Ja                                        ;ARK 228
Flammenkugel                                     ;2    ;Hervorrufung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Kugel mit einem Durchmesser von 1,50 m                                                                                                                ;1 Runde/ Stufe                                                                                   ;V, G, M/GF (Talg, Schwefel und Eisenpulver)                                                         ;Reflex, keine Wirkung                                                                 ;Ja                                        ;GRW 274
Fürchterlicher Lachanfall                        ;2    ;Verzauberung;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur (siehe Text)                                                                                                                             ;1 Runde/ Stufe                                                                                   ;V, G, M (kleine Obsttörtchen und eine Feder)                                                        ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 277
Gedanken wahrnehmen                              ;2    ;Erkenntnis  ;1 Standard-Aktion             ;18m                                               ;Kegelförmige Ausstrahlung                                                                                                                             ;"Konzentration; bis zu 1 Min./ Stufe (A)"                                                        ;V, G, F/GF (ein Stückchen Kupfer)                                                                   ;Willen, keine Wirkung (siehe Text)                                                    ;Nein                                      ;GRW 279
Gegenstand aufspüren                             ;2    ;Erkenntnis  ;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Kreis mit dir im Zentrum und einem Radius von 120 m + 12m/ Stufe                                                                                      ;1 Min./ Stufe                                                                                    ;V, G, F/GF (ein gegabelter Zweig)                                                                   ;Nein                                                                                  ;Nein                                      ;GRW 280
Gegenstand verbergen                             ;2    ;Bannzauber  ;1 Standard-Aktion             ;Berührung                                         ;Ein berührter Gegenstand von bis zu 100 Pfd./ Stufe                                                                                                   ;8 Stunden ( A)                                                                                   ;V, G, M/GF (Chamäleonhaut)                                                                          ;Willen, keine Wirkung (Gegenstand)                                                    ;Ja (Gegenstand)                           ;GRW 280
Geisterhafte Verkleidung                         ;2    ;Illusion    ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;10 Min./ Stufe                                                                                   ;V, G                                                                                                ;Keiner                                                                                ;Nein                                      ;ARM 218
Geisterhand                                      ;2    ;Nekromantie ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Eine Geisterhand                                                                                                                                      ;1 Min./ Stufe (A)                                                                                ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;GRW 281
Gestalt verändern                                ;2    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min./ Stufe (A)                                                                                ;V, G, M (ein Teil der Kreatur, in die du dich verwandeln möchtest)                                  ;Nein                                                                                  ;Nein                                      ;GRW 283
Geteilte Erinnerung                              ;2    ;Erkenntnis  ;1 Standard-Aktion             ;Berührung                                         ;Du und eine berührte Kreatur                                                                                                                          ;Augenblicklich                                                                                   ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 218
Ghulhand                                         ;2    ;Nekromantie ;1 Standard-Aktion             ;Berührung                                         ;Lebender, berührter Humanoider                                                                                                                        ;lW6+2 Runden                                                                                     ;V, G, M (ein Fetzen von der Kleidung eines Ghuls oder Erde aus dem Unterschlupf eines Ghuls)        ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;GRW 283
Gift beschleunigen                               ;2    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;Augenblicklich                                                                                   ;V, G, M (ein Dorn)                                                                                  ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;EXP 224
Giftanfälligkeit                                 ;2    ;Nekromantie ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;10 Min./ Stufe                                                                                   ;V, G, GF                                                                                            ;Keiner                                                                                ;Ja                                        ;ARM 219
Gleiten                                          ;2    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;Bis zur Landung oder 1 Minute/ Stufe (A)                                                         ;V, G, M/GF (ein Blatt)                                                                              ;Nein                                                                                  ;Nein                                      ;EXP 224
Glitzerstaub                                     ;2    ;Beschwörung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Kreaturen und Gegenstände, die sich innerhalb einer Ausbreitung mit einem Radius von 3 m befinden                                                     ;1 Runde/ Stufe                                                                                   ;V, G, M (Glimmererde)                                                                               ;Willen, keine Wirkung (blendet nur)                                                   ;Nein                                      ;GRW 284
Grube erschaffen                                 ;2    ;Beschwörung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Ein Loch von 3 m x 3 m Größe, 3 m/2 Stufen tief (max. 9m)                                                                                             ;1 Runde + 1 Runde/ Stufe                                                                         ;V, G, F (eine Miniaturschaufel im Wert von 10 GM)                                                   ;Reflex, keine Wirkung                                                                 ;Nein                                      ;EXP 226
Hauch der Elemente                               ;2    ;Hervorrufung;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Runde/ Stufe (A)                                                                               ;V, G, M (ein Stück des gewählten Elements Erde, Feuer, Luft oder Wasser                             ;Siehe Text                                                                            ;Nein                                      ;EXP 226
Hauch des Stumpfsinns                            ;2    ;Verzauberung;1 Standard-Aktion             ;Berührung                                         ;Lebende berührte Kreatur                                                                                                                              ;10 Min./ Stufe                                                                                   ;V, G                                                                                                ;Nein                                                                                  ;Ja                                        ;GRW 286
Hypnotisches Muster                              ;2    ;Illusion    ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Bunte Lichter in einer Ausbreitung mit einem Radius von 6 m                                                                                           ;Konzentration + 2 Runden                                                                         ;V (nur Barden), G, M (ein Räucherstäbchen oder ein Kristallzepter) (siehe Text)                     ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 290
Irreführung                                      ;2    ;Illusion    ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur oder ein Gegenstand mit einer Größe von bis zu einem Würfel mit 3 m Kantenlänge                                                          ;1 Stunde/ Stufe                                                                                  ;V, G                                                                                                ;Nein oder Willen, keine Wirkung (siehe Text)                                          ;Nein                                      ;GRW 291
Kalter Hauch                                     ;2    ;Hervorrufung;1 Standard-Aktion             ;Berührung                                         ;Kreatur                                                                                                                                               ;Augenblicklich                                                                                   ;V, G                                                                                                ;Keiner                                                                                ;Ja                                        ;ARM 223
Katzenhafte Anmut                                ;2    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Min./ Stufe                                                                                    ;V, G, M (ein Stückchen Katzenfell)                                                                  ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;GRW 292
Kinetische Resonanz                              ;2    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Runde/ Stufe                                                                                   ;V, G, M (Gummibaumsaft)                                                                             ;Zähigkeit, keine Wirkung (Gegenstand )                                                ;Ja (Gegenstand)                           ;ARK 233
Klopfen                                          ;2    ;Verwandlung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Eine Tür, Kiste oder Truhe in einem Bereich von bis zu 0,9 m²/ Stufe                                                                                  ;Augenblicklich (siehe Text)                                                                      ;V                                                                                                   ;Nein                                                                                  ;Nein                                      ;GRW 293
Kochendes Blut                                   ;2    ;Verwandlung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;1 Kreatur/3 Stufen von denen keine mehr als 9m von der anderen entfernt sein darf                                                                     ;Konzentration + 1 Runde/ Stufe                                                                   ;V, G                                                                                                ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;ARM 225
Kugelschild                                      ;2    ;Bannzauber  ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;10 Min./Stufe (A)                                                                                ;V, G, M (eine Kugel)                                                                                ;Willen, keine Wirkung (harmlos)                                                       ;Ja (Harmlos)                              ;ARK 234
Lehren des Blutes                                ;2    ;Erkenntnis  ;1 Standard-Aktion             ;Berührung                                         ;1 toter Zauberkundiger                                                                                                                                ;24 Stunden                                                                                       ;V, G                                                                                                ;Keiner                                                                                ;Nein                                      ;ARM 227
Magischer Mund                                   ;2    ;Illusion    ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur oder ein Gegenstand                                                                                                                      ;Permanent bis zur Entladung                                                                      ;V, G, M (eine kleine Honigwabe und Jadestaub im Wert von 10 GM)                                     ;Willen, keine Wirkung (Gegenstand)                                                    ;Ja (Gegenstand)                           ;GRW 302
Magisches Belagerungsgerät                       ;2    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;1 berührtes Belagerungsgerät                                                                                                                          ;1 Min. /Stufe                                                                                    ;V, G, GF                                                                                            ;Willen, keine Wirkung (harmlos, Gegenstand)                                           ;Ja (harmlos, Gegenstand)                  ;ARK 236
Meisterarbeit                                    ;2    ;Verwandlung ;1 Stunde                      ;Berührung                                         ;1 berührte Waffe, Rüstung, Schild, Werkzeug oder Ausrü stungsgegenstand, der für eine Fertigkeit benutzt wird                                         ;Augenblicklich                                                                                   ;V, G, M (Kostenunterschied zwischen Normalen und Meisterlichen Gegenstand)                          ;Keiner                                                                                ;Nein                                      ;ARM 227
Mitfühlender Verbündeter                         ;2    ;Verzauberung;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur                                                                                                                                             ;1 Runde/ Stufe                                                                                   ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 227
Mitleid                                          ;2    ;Bannzauber  ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Runde/ Stufe und 1 Minute (siehe Text)                                                         ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 228
Monster herbeizaubern II                         ;2    ;Beschwörung ;1 Runde                       ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine oder 1W3 beschworene Kreatur (siehe Text)                                                                                                        ;1 Runde/ Stufe                                                                                   ;V, G, F/GF (ein kleiner Beutel und eine kleine Kerze)                                               ;Nein                                                                                  ;Nein                                      ;GRW 308
Monsterbenommenheit                              ;2    ;Verzauberung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Eine lebende Kreatur mit 6 oder weniger TW                                                                                                            ;1 Runde                                                                                          ;V, G, M (ein wenig Wolle oder ein ähnliches Material)                                               ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 308
Nachladende Hände                                ;2    ;Beschwörung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Schusswaffe                                                                                                                                  ;1 Runde/ Stufe (A)                                                                               ;V, G                                                                                                ;Willen, keine Wirkung (harmlos, Gegenstand)                                           ;Ja (harmlos, Gegenstand)                  ;ARK 237
Nebelwolke                                       ;2    ;Beschwörung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Nebel verbreitet sich in einem Bereich mit einem Radius von 6 m und bis in 6 m Höhe.                                                                  ;10 Min./ Stufe                                                                                   ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;GRW 310
Pfeilexplosion                                   ;2    ;Beschwörung ;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Explosion mit Radius von 9 m                                                                                                                          ;Augenblicklich                                                                                   ;V, G, M (Armbrustbolzen oder Pfeil)                                                                 ;Nein                                                                                  ;Ja                                        ;EXP 234
Phantomfalle                                     ;2    ;Illusion    ;1 Standard-Aktion             ;Berührung                                         ;berührter Gegenstand                                                                                                                                  ;Permanent (A)                                                                                    ;V, G, M (spezieller Staub im Wert von 50 GM)                                                        ;Nein                                                                                  ;Nein                                      ;GRW 315
Plündernde Hand                                  ;2    ;Hervorrufung;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Gegenstand                                                                                                                                          ;Siehe Text                                                                                       ;G                                                                                                   ;Keiner                                                                                ;Ja (Gegenstand)                           ;ARK 238
Pracht des Adlers                                ;2    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Min./ Stufe                                                                                    ;V, G, M/GF (Federn oder Dung von einem Adler)                                                       ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;GRW 316
